run_id,run_config,llm,modeling_tool,test_pass,test_total
214426458940584442683317361323349650866,C,gpt-4.1-nano,ecore,6,12
215415657708195213372406883591337989810,CDAG,gpt-4.1-nano,ecore,6,12
22119916459470129570792303715371071210,CSAG,gpt-4.1-nano,umple,12,12
231680662924747664857085959394342531057,CA,gpt-4.1-nano,umple,6,12
234958589401201658255296702097919384896,CDAG,gpt-4.1-nano,umple,7,12
237722530160275531429683668372415336390,CDG,gpt-4.1-nano,ecore,9,12
239862739990858876102654103658657508425,CDSAG,gpt-4.1-nano,ecore,11,12
240835628997992621462227955029092911807,CDSG,gpt-4.1-nano,umple,8,12
242774666471476970217654836093503732152,CAG,gpt-4.1-nano,ecore,7,12
243309893196828401472145169942590971139,CDA,gpt-4.1-nano,ecore,9,12
249600382205423786018614190839014537475,CDFG,gpt-4.1-nano,umple,8,12
252963343879381865373949918343200260558,CA,gpt-4.1-nano,ecore,7,12
255112080127106809872273293249588866328,CD,gpt-4.1-nano,umple,10,12
258101462135953746511527782084906609402,CAG,gpt-4.1-nano,umple,6,12
271488704202981871574415370678314687542,CSA,gpt-4.1-nano,umple,6,12
272567690485835263346728278228848295702,CDS,gpt-4.1-nano,ecore,6,12
273767352697716925632665668714899159667,CDSG,gpt-4.1-nano,ecore,11,12
273987500727822428515859724033311325923,CDSAG,gpt-4.1-nano,umple,12,12
281965423002485184421509733164126191618,C,gpt-4.1-nano,umple,6,12
288659912685087659944146785859101556781,CSG,gpt-4.1-nano,umple,8,12
298849912128098799465746502166886970462,CSFG,gpt-4.1-nano,ecore,11,12
309408969126144783815268642886526188461,CSAG,gpt-4.1-nano,ecore,11,12
327732533407914462576956218902962317049,CDSFG,gpt-4.1-nano,umple,12,12
329211281406205572189723349022393629643,CDS,gpt-4.1-nano,umple,6,12
332034388629140218811960697115248405349,CG,gpt-4.1-nano,umple,6,12
87514143060592621260678122365808969531,CFG,gpt-4.1-nano,ecore,7,12
